website,url
-- 5090s --
newegg,https://www.newegg.ca/gigabyte-gv-n5090aorus-m-32gd-nvidia-geforce-rtx-5090-32gb-gddr7/p/N82E16814932760?Item=N82E16814932760&SoldByNewegg=1
newegg,https://www.newegg.ca/gigabyte-gv-n5090gaming-oc-32gd-nvidia-geforce-rtx-5090-32gb-gddr7/p/N82E16814932761?Item=N82E16814932761&SoldByNewegg=1
amazon.ca,https://www.amazon.ca/dp/B0DV9BSDSM/ref=sr_1_48?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DS2WQZ2M?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DS2X13PH?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DS2Z8854?aod=1
amazon.ca,https://www.amazon.ca/GIGABYTE-Graphics-WINDFORCE-GV-N5090AORUS-M-32GD/dp/B0DT7GHQMD/ref=sr_1_24?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DVCF7XDF/ref=sr_1_8?aod=1
amazon.ca,https://www.amazon.ca/GIGABYTE-Graphics-WINDFORCE-GV-N5090GAMING-OC-32GD/dp/B0DT7GBNWQ/4?aod=1
amazon.ca,https://www.amazon.ca/GIGABYTE-GeForce-WINDFORCE-Graphics-GV-N5090WF3OC-32GD/dp/B0DT7GMXHB/ref=sr_1_21?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DVCH9WJH?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DVCGBPL9?aod=1
newegg,https://www.newegg.ca/msi-rtx-5090-32g-ventus-3x-nvidia-geforce-rtx-5090-32gb-gddr7/p/N82E16814137946?Item=N82E16814137946&SoldByNewegg=1
newegg,https://www.newegg.ca/asus-rog-astral-rog-astral-rtx5090-o32g-gaming-nvidia-geforce-rtx-5090-32gb-gddr7/p/N82E16814126751?Item=N82E16814126751&SoldByNewegg=1
newegg,https://www.newegg.ca/zotac-solid-zt-b50900d-10p-nvidia-geforce-rtx-5090-32gb-gddr7/p/N82E16814500597?Item=N82E16814500597&SoldByNewegg=1vvv
amazon.ca,https://www.amazon.ca/MSI-Graphics-DisplayPort-Blackwell-Architecture/dp/B0DT7JYTXQ/ref=sr_1_20?aod=1
amazon.ca,https://www.amazon.ca/MSI-Vanguard-DisplayPort-Blackwell-Architecture/dp/B0DT7KGND2/ref=sr_1_3?aod=1
amazon.ca,https://www.amazon.ca/MSI-Vanguard-DisplayPort-Blackwell-Architecture/dp/B0DT7L992Z/?aod=1
amazon.ca,https://www.amazon.ca/MSI-Graphics-DisplayPort-Blackwell-Architecture/dp/B0DT7JS6BG/?aod=1
amazon.ca,https://www.amazon.ca/MSI-Graphics-DisplayPort-Blackwell-Architecture/dp/B0DT7L98J1/ref=sr_1_2?aod=1
amazon.ca,https://www.amazon.ca/PNY-GeForce-Epic-X-ARGBTM-Overclocked/dp/B0DTJFSSZG/ref=sr_1_3?aod=1
amazon.ca,https://www.amazon.ca/PNY-GeForce-RTXTM-Overclocked-Triple/dp/B0DTJF8YT4/?aod=1
amazon.ca,https://www.amazon.ca/ZOTAC-Infinity-Graphics-IceStorm-ZT-B50900B-10P/dp/B0DV64SCM8/2?aod=1
amazon.ca,https://www.amazon.ca/ZOTAC-Graphics-IceStorm-Advanced-ZT-B50900J-10P/dp/B0DV6MK91R/ref=sr_1_5?aod=1
bestbuy,https://www.bestbuy.ca/en-ca/product/nvidia-geforce-rtx-5090-32gb-gddr7-video-card/18931348
bestbuy,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-geforce-rtx-5090-32gb-gddr7-video-card/18969272
amazon.ca,https://www.amazon.ca/dp/B0DTYJQQD2/ref=sr_1_47?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DTY4H1CB/ref=sr_1_45?aod=1
newegg,https://www.newegg.ca/gigabyte-gv-n5090aorusm-ice-32gd-nvidia-geforce-rtx-5090-32gb-gddr7/p/N82E16814932765?Item=N82E16814932765&SoldByNewegg=1
newegg,https://www.newegg.ca/p/N82E16814126752?Item=N82E16814126752&SoldByNewegg=1
newegg,https://www.newegg.ca/msi-rtx-5090-32g-ventus-3x-nvidia-geforce-rtx-5090-32gb-gddr7/p/N82E16814932762?Item=N82E16814932762&SoldByNewegg=1
newegg,https://www.newegg.ca/p/N82E16814126753?Item=N82E16814126753&SoldByNewegg=1
bestbuy,https://www.bestbuy.ca/en-ca/product/zotac-gaming-geforce-rtx-5090-solid-32gb-gddr7-video-card/18931631
bestbuy,https://www.bestbuy.ca/en-ca/product/asus-rog-astral-geforce-rtx-5090-32gb-video-card/19177947
bestbuy,https://www.bestbuy.ca/en-ca/product/msi-vanguard-geforce-rtx-5090-32gb-gddr7-video-card/18938752
bestbuy,https://www.bestbuy.ca/en-ca/product/msi-gaming-trio-geforce-rtx-5090-oc-32gb-gddr7-video-card/18938751
amazon,https://www.amazon.com/ASUS-NVIDIA-GeForce-Express-ROG-ASTRAL-RTX5090-O32G-GAMING/dp/B0DV9BSDSM?aod=1&product_id=4779&tag=trackalacker-dcrd-20
amazon,https://www.amazon.com/dp/B0DS2WQZ2M
amazon,https://www.amazon.com/dp/B0DS2X13PH
amazon,https://www.amazon.com/dp/B0DT7GHQMD
amazon,https://www.amazon.com/dp/B0DT7GBNWQ
amazon,https://www.amazon.ca/GIGABYTE-Graphics-WINDFORCE-GV-N5080AERO-OC-16GD/dp/B0DT7JVPVH?aod=1
amazon,https://www.amazon.com/dp/B0DTJFSSZG
amazon,https://www.amazon.com/dp/B0DV6MK91R
amazon,https://www.amazon.com/dp/B0DV64SCM8
amazon,https://www.amazon.com/dp/B0DT7L992Z
amazon,https://www.amazon.com/dp/B0DT7L992Z 
-- 5080s --
newegg,https://www.newegg.ca/zotac-solid-oc-zt-b50800j-10p-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814500594
newegg,https://www.newegg.ca/zotac-amp-extreme-infinity-zt-b50800b-10p-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814500595
newegg,https://www.newegg.ca/pny-oc-vcg508016tfxpb1-o-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814133899
newegg,https://www.newegg.ca/asus-tuf-gaming-tuf-rtx5080-o16g-gaming-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814126743
newegg,https://www.newegg.ca/asus-prime-rtx5080-o16g-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814126744
newegg,https://www.newegg.ca/zotac-solid-zt-b50800d-10p-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814500596
newegg,https://www.newegg.ca/gigabyte-gv-n5080aorusm-ice-16g-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814932757
newegg,https://www.newegg.ca/msi-rtx-5080-16g-ventus-3x-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814137945
newegg,https://www.newegg.ca/pny-argb-oc-vcg508016tfxxpb1-o-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814133898
newegg,https://www.newegg.ca/gigabyte-gv-n5080aorus-m-16gd-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814932755
newegg,https://www.newegg.ca/msi-rtx-5080-16g-ventus-3x-oc-plus-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814137913
newegg,https://www.newegg.ca/msi-rtx-5080-16g-gaming-trio-oc-white-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814137909
#- newegg,https://www.newegg.ca/asus-prime-rtx5080-16g-nvidia-geforce-rtx-5080-16gb-gddr7/p/N82E16814126776
bestbuy,https://www.bestbuy.ca/en-ca/product/nvidia-geforce-rtx-5080-16gb-gddr7-video-card/18931347
bestbuy,https://www.bestbuy.ca/en-ca/product/pny-nvidia-geforce-rtx-5080-16gb-gddr7-video-card/18934178
bestbuy,https://www.bestbuy.ca/en-ca/product/asus-prime-nvidia-geforce-rtx-5080-16gb-video-card/18971064
bestbuy,https://www.bestbuy.ca/en-ca/product/zotac-gaming-geforce-rtx-5080-solid-oc-16gb-gddr7-video-card/18931629
amazon.ca,https://www.amazon.ca/ASUS-PRIME-RTX5080-O16G-Early-Set-UP/dp/B0DQSLHSP2/ref=sr_1_37?aod=1
amazon.ca,https://www.amazon.ca/ASUS-ROG-ASTRAL-RTX5080-O16G-GAMING-Early-Set-UP/dp/B0DQSD7YQC/ref=sr_1_35?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DT7HVT16?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DS2R6948?aod=1
amazon.ca,https://www.amazon.ca/GIGABYTE-Graphics-WINDFORCE-GV-N5080AERO-OC-16GD/dp/B0DT7JVPVH/ref=sr_1_37?aod=1
amazon.ca,https://www.amazon.ca/MSI-Graphics-DisplayPort-Blackwell-Architecture/dp/B0DSXGNFJL/ref=sr_1_7?aod=1
amazon.ca,https://www.amazon.ca/MSI-Vanguard-DisplayPort-Blackwell-Architecture/dp/B0DSWP51N3/2?aod=1
bestbuy,https://www.bestbuy.ca/en-ca/product/asus-tuf-gaming-geforce-rtx-5080-oc-edition-16gb-gddr7-video-card/18931397
bestbuy,https://www.bestbuy.ca/en-ca/product/pny-nvidia-geforce-rtx-5080-16gb-gddr7-video-card/18934177
bestbuy,https://www.bestbuy.ca/en-ca/product/msi-geforce-rtx-5080-gaming-trio-oc-16gb-gddr7-video-card/18938759
amazon.ca,https://www.amazon.ca/MSI-Graphics-DisplayPort-Blackwell-Architecture/dp/B0DSWQNGYF/ref=sr_1_2?aod=1
amazon.ca,https://www.amazon.ca/MSI-GeForce-RTX-5080-Inspire/dp/B0BSLJK16Z/ref=sr_1_46?aod=1
amazon.ca,https://www.amazon.ca/dp/B0DQDBN1G6/9?aod=1
amazon.ca,https://www.amazon.ca/dp/B0BSLJ52ZF/ref=sr_1_48?aod=1
bestbuy,https://www.bestbuy.ca/en-ca/product/msi-geforce-rtx-5080-vanguard-soc-launch-edition-16gb-gddr7-video-card/18938756
bestbuy,https://www.bestbuy.ca/en-ca/product/msi-geforce-rtx-5080-ventus-3x-oc-plus-16gb-gddr7-video-card/18938760
bestbuy,https://www.bestbuy.ca/en-ca/product/asus-prime-geforce-rtx-5080-16gb-gddr7-video-card/18934247
amazon.ca,https://www.amazon.ca/MSI-Graphics-DisplayPort-Blackwell-Architecture/dp/B0DSXNXTSS/ref=sr_1_8?aod=1
amazon.ca,https://www.amazon.ca/MSI-Vanguard-DisplayPort-Blackwell-Architecture/dp/B0DSWRLSD4/?aod=1
amazon.ca,https://www.amazon.ca/PNY-GeForce-RTXTM-Overclocked-Triple/dp/B0DTJDR3V9/ref=sr_1_7?aod=1
amazon,https://www.amazon.com/dp/B0DQSD7YQC?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/ASUS-Military-Grade-Components-Protective-axial-tech/dp/B0DQSMMCSH?aod=1&tag=trackalacker-dcrd-20
amazon,https://www.amazon.com/ASUS-NVIDIA-GeForce-Express-TUF-RTX5080-O16G-GAMING/dp/B0DTY4H1CB/ref=sr_1_27?aod=1&product_id=6184&tag=trackalacker-dcrd-20
amazon,https://www.amazon.com/dp/B0DT7HVT16?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DS2R6948?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DSXNXTSS?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DTZ441G7?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DTZ48TCY?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DTYJQQD2?aod=1&linkCode=ogi&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DS2R7N4F?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DSXGNFJL?aod=1&tag=trackalacker-dcrd-20
amazon,https://www.amazon.com/dp/B0DSXKZ2T9?aod=1&tag=trackalacker-dcrd-20
amazon,https://www.amazon.com/dp/B0DSWRLSD4?aod=1&linkCode=ogi&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0BSLJ52ZF?aod=1&linkCode=ogi&psc=1&tag=trackalacker-dcrd-20&th=1
amazon,https://www.amazon.com/dp/B0DSXH2P3L?aod=1&linkCode=ogi&m=ATVPDKIKX0DER&psc=1&tag=trackalacker-dcrd-20&th=1
